,index,height,weight,birthDate,collegeName,position,displayName
0,0,72,191,1991-08-16,Central Florida,CB,A.J. Bouye
1,1,6-5,240,09/20/1991,Arkansas,TE,A.J. Derby
2,2,76,210,1988-07-31,Georgia,WR,A.J. Green
3,3,73,240,1991-07-30,Iowa State,OLB,A.J. Klein
4,4,71,202,1995-12-15,Mississippi,DB,A.J. Moore
5,5,75,220,1990-09-13,Alabama,QB,AJ McCarron
6,6,72,191,1991-10-02,Oklahoma,CB,Aaron Colvin
7,7,69,208,1994-12-02,Texas-El Paso,RB,Aaron Jones
8,8,77,285,1993-02-08,South Florida,OLB,Aaron Lynch
9,9,74,225,1983-12-02,California,QB,Aaron Rodgers
10,10,6-2,242,07/08/1993,UCLA,OLB,Aaron Wallace
11,11,76,318,1991-09-08,Georgia,NT,Abry Jones
12,12,77,300,1994-04-12,Vanderbilt,DT,Adam Butler
13,13,71,195,1993-06-24,Clemson,WR,Adam Humphries
14,14,5-10,185,09/30/1983,West Virginia,CB,Adam Jones
15,15,78,257,1994-10-24,Ashland,TE,Adam Shaheen
16,16,74,200,1990-08-22,Minn. State-Mankato,WR,Adam Thielen
17,17,72,230,1990-09-21,Florida Atlantic,MLB,Adarius Taylor
18,18,75,205,1996-11-07,Virginia Tech,CB,Adonis Alexander
19,19,71,185,1995-09-18,Southern California,CB,Adoree' Jackson
20,20,72,214,1993-04-29,Penn State,FS,Adrian Amos
21,21,75,280,1988-07-06,Iowa,DE,Adrian Clayborn
22,22,74,205,1993-10-06,Miami,FS,Adrian Colbert
23,23,73,220,1985-03-21,Oklahoma,RB,Adrian Peterson
24,24,71,210,1992-03-28,Texas,SS,Adrian Phillips
25,25,75,195,1995-03-21,Colorado,CB,Ahkello Witherspoon
26,26,72,227,1994-12-15,Oklahoma,ILB,Ahmad Thomas
27,27,73,215,1992-08-29,San Jose State,CB,Akeem King
28,28,76,352,1989-11-16,"Regina, Can.",DT,Akiem Hicks
29,29,6-1,235,07/02/1993,Memphis,TE,Alan Cross
30,30,74,235,1986-06-04,Marshall,OLB,Albert McClellan
31,31,69,195,1992-07-12,Georgia State,WR,Albert Wilson
