ID,First Name,Last Name,Age,Height,Weight,Jersey,Position,Team,Archetype
1,Davante,Adams,28,73,215,17,WR,Packers,WR_RouteRunner
2,Patrick,Mahomes,25,75,230,15,QB,Chiefs,QB_Improviser
3,Travis,Kelce,31,77,260,87,TE,Chiefs,TE_VerticalThreat
4,Aaron,Donald,30,73,280,99,RE,Rams,DE_PowerRusher
5,Jalen,Ramsey,26,73,208,5,CB,Rams,CB_MantoMan
6,DeAndre,Hopkins,29,73,212,10,WR,Cardinals,WR_Physical
7,Myles,Garrett,25,76,272,95,RE,Browns,DE_PowerRusher
8,Zack,Martin,30,76,315,70,RG,Cowboys,G_Power
9,Tyreek,Hill,27,69,185,10,WR,Chiefs,WR_DeepThreat
10,Stefon,Diggs,27,72,191,14,WR,Bills,WR_RouteRunner
11,Christian,McCaffrey,25,71,205,22,HB,Panthers,HB_ReceivingBack
12,Stephon,Gilmore,30,73,202,24,CB,Patriots,CB_MantoMan
13,Tom,Brady,44,76,225,12,QB,Buccaneers,QB_FieldGeneral
14,Khalil,Mack,30,75,260,52,LOLB,Bears,OLB_PowerRusher
15,Nick,Chubb,25,71,227,24,HB,Browns,HB_PowerBack
16,Aaron,Rodgers,37,74,225,12,QB,Packers,QB_Improviser
17,David,Bakhtiari,29,76,310,69,LT,Packers,OT_PassProtector
18,George,Kittle,27,76,250,85,TE,49ers,TE_Possession
19,Derrick,Henry,27,75,247,22,HB,Titans,HB_PowerBack
20,Jaire,Alexander,24,70,196,23,CB,Packers,CB_MantoMan
21,Quenton,Nelson,25,77,329,56,LG,Colts,G_Power
22,Tyrann,Mathieu,29,69,190,32,SS,Chiefs,S_Hybrid
23,Dalvin,Cook,26,70,210,33,HB,Vikings,HB_ElusiveBack
24,Terron,Armstead,30,77,304,72,LT,Saints,OT_PassProtector
25,Julio,Jones,32,75,220,2,WR,Titans,WR_Physical
26,Chandler,Jones,31,77,265,55,LOLB,Cardinals,OLB_PowerRusher
27,J.J.,Watt,32,77,288,99,LE,Cardinals,DE_PowerRusher
28,Alvin,Kamara,26,70,215,41,HB,Saints,HB_ElusiveBack
29,Michael,Thomas,28,75,212,13,WR,Saints,WR_Physical
30,Fletcher,Cox,30,76,310,91,DT,Eagles,DT_PowerRusher
31,T.J.,Watt,26,76,252,90,LOLB,Steelers,OLB_SpeedRusher
32,Fred,Warner,24,75,230,54,MLB,49ers,MLB_FieldGeneral
33,Trent,Williams,33,77,320,71,LT,49ers,OT_Power
34,Russell,Wilson,32,71,215,3,QB,Seahawks,QB_Improviser
35,Budda,Baker,25,70,195,3,SS,Cardinals,S_RunSupport
36,Ronnie,Stanley,27,78,315,79,LT,Ravens,OT_Agile
37,Tre'Davious,White,26,71,192,27,CB,Bills,CB_MantoMan
38,Von,Miller,32,75,250,58,LOLB,Broncos,OLB_PowerRusher
39,Darren,Waller,28,78,255,83,TE,Raiders,TE_VerticalThreat
40,Keenan,Allen,29,74,211,13,WR,Chargers,WR_RouteRunner
41,Cameron,Jordan,32,76,287,94,LE,Saints,DE_RunStopper
42,Lavonte,David,31,73,233,54,MLB,Buccaneers,MLB_FieldGeneral
43,Rodney,Hudson,32,74,315,61,C,Cardinals,C_PassProtector
44,Marlon,Humphrey,25,72,197,44,CB,Ravens,CB_MantoMan
45,Amari,Cooper,27,73,210,19,WR,Cowboys,WR_RouteRunner
