,Player Info,,,,,,,,,,Physical Ratings,,,,,,,Ball Carrier Ratings,,,,,,,Receiving Ratings,,,,,,,Passer Ratings,,,,,,,,Blocking Ratings,,,,,,,,Tackling Ratings,,,Coverage Ratings,,,,Pass Rush Ratings,,,Special Teams Ratings,,,Injury Ratings,,,Contract Info,,Misc Info,,,,,,,,,,,,
#,Team,Position,Archetype,Jersey #,First Name,Last Name,Age,Height,Weight,Overall,Speed,Acceleration,Agility,Change of Dir,Strength,Jumping,Awareness,Carrying,Break Tackle,Juke Move,Spin Move,Trucking,Stiff Arm,BC Vision,Catching,Catch In Traffic,Spec Catch,Release,Short RR,Medium RR,Deep RR,Throw Power,Throw Acc Short,Throw Acc Mid,Throw Acc Deep,Throw Under Pressure,Throw On The Run,Play Action,Break Sack,Run Block,Run Block Power,Run Block Finesse,Pass Block,Pass Block Power,Pass Block Finesse,Impact Blocking,Lead Blocking,Tackle,Hit Power,Pursuit,Man Coverage,Zone Coverage,Press,Play Recognition,Power Moves,Finesse Moves,Block Shedding,Kick Power,Kick Accuracy,Kick Return,Stamina,Injury,Toughness,Total Salary,Signing Bonus,Run Style,Birthdate,Years Pro,Handedness,College,Portrait ID,Team ID,Primary Key,Full Name,Player Asset,Iteration,Status,BLANK
1,Packers,WR,WR_RouteRunner,17,Davante,Adams,28,73,215,99,91,92,92,92,63,94,98,76,80,92,83,63,75,92,99,97,98,99,99,98,93,45,15,10,6,20,10,6,22,48,20,12,38,13,17,45,25,42,15,44,18,24,25,26,10,10,52,25,30,45,96,93,88,"$39,210,000 ","$20,300,000 ",Default Stride Loose,33962,7,Right,Fresno State,6328,20,10823,Davante Adams,AdamsDavante_10823,launch-ratings,published,
2,Chiefs,QB,QB_Improviser,15,Patrick,Mahomes,25,75,230,99,81,87,88,87,70,74,97,63,76,74,69,51,57,81,37,32,30,22,27,17,15,97,97,93,94,96,98,96,90,23,10,10,10,10,10,27,23,26,18,37,17,19,10,22,10,10,24,20,10,10,96,95,96,"$183,300,000 ","$99,190,000 ",Default,34959,4,Right,Texas Tech,8648,9,12635,Patrick Mahomes,MahomesIIPatrick_12635,launch-ratings,published,
3,Chiefs,TE,TE_VerticalThreat,87,Travis,Kelce,31,77,260,99,86,89,86,75,79,92,98,72,76,83,71,78,84,91,96,91,93,87,90,85,78,64,60,53,49,33,47,29,42,71,65,66,66,64,63,74,59,45,15,42,12,14,10,15,20,20,40,35,32,6,97,89,91,"$54,000,000 ","$25,440,000 ",Long Stride High and Tight,32786,8,Right,Cincinnati,5920,9,890,Travis Kelce,KelceTravis_890,launch-ratings,published,
4,Rams,RE,DE_PowerRusher,99,Aaron,Donald,30,73,280,99,82,90,86,68,99,78,99,48,17,28,25,32,30,49,42,23,47,12,16,9,5,20,6,6,6,15,6,6,12,45,45,45,45,45,45,93,23,95,89,98,25,29,21,99,99,97,97,25,21,10,87,98,93,"$101,892,000 ","$40,000,000 ",Default Stride Loose,33381,7,Right,Pittsburgh,6394,24,10852,Aaron Donald,DonaldAaron_10852,launch-ratings,published,
5,Rams,CB,CB_MantoMan,5,Jalen,Ramsey,26,73,208,99,92,94,91,92,71,94,99,71,68,78,69,42,57,72,79,55,64,27,36,24,12,27,33,26,21,17,24,16,34,34,33,34,21,33,34,65,22,76,82,78,99,99,99,99,35,41,50,18,17,80,91,86,86,"$71,000,000 ","$43,600,000 ",Short Stride Default,34631,5,Right,Florida State,8185,24,17538,Jalen Ramsey,RamseyJalen_17538,launch-ratings,published,
6,Cardinals,WR,WR_Physical,10,DeAndre,Hopkins,29,73,212,98,90,90,92,88,78,99,99,72,86,91,83,59,81,94,99,99,99,98,97,96,92,35,15,10,10,23,15,15,22,54,37,35,44,27,25,49,29,52,35,30,32,35,40,28,30,32,45,20,20,72,98,97,97,"$52,670,000 ","$41,750,000 ",Short Stride Loose,33761,8,Right,Clemson,5873,7,506,DeAndre Hopkins,HopkinsDeAndre_506,launch-ratings,published,
7,Browns,RE,DE_PowerRusher,95,Myles,Garrett,25,76,272,98,85,90,83,71,96,92,98,55,34,36,40,36,48,39,52,21,25,35,15,8,4,55,31,30,27,16,23,10,12,45,45,45,45,45,45,87,17,91,81,97,51,51,44,94,98,91,89,20,20,10,88,87,85,"$84,270,000 ","$65,590,000 ",Long Stride Default,35062,4,Right,Texas AM,8560,5,12520,Myles Garrett,GarrettMyles_12520,launch-ratings,published,
8,Cowboys,RG,G_Power,70,Zack,Martin,30,76,315,98,69,80,64,60,95,70,97,40,5,10,10,24,10,10,32,15,15,15,15,5,5,29,6,6,6,14,6,6,12,97,97,96,95,96,93,93,94,28,20,48,9,11,10,31,10,10,27,9,14,10,93,94,96,"$53,440,000 ","$39,890,000 ",Default Stride Awkward,33197,7,Right,Notre Dame,6511,11,12348,Zack Martin,MartinZack_12348,launch-ratings,published,
9,Chiefs,WR,WR_DeepThreat,10,Tyreek,Hill,27,69,185,98,99,99,98,99,64,93,97,80,85,98,85,38,45,96,91,90,92,92,92,93,97,36,27,22,17,20,18,12,28,59,17,12,33,19,19,40,20,27,25,33,10,20,30,26,10,10,21,13,15,92,91,88,93,"$32,240,000 ","$24,240,000 ",Short Stride Default,34394,5,Left,West Alabama,8052,9,17838,Tyreek Hill,HillTyreek_17838,launch-ratings,published,
10,Bills,WR,WR_RouteRunner,14,Stefon,Diggs,27,72,191,97,92,94,93,96,62,91,98,74,84,97,89,42,64,92,93,93,97,91,96,97,94,46,27,23,18,20,27,18,27,53,36,33,39,20,22,49,29,27,12,35,15,25,15,20,10,10,35,30,30,85,86,87,87,"$39,570,000 ","$30,140,000 ",Default Stride Loose,34302,6,Right,Maryland,7085,3,2454,Stefon Diggs,DiggsStefon_2454,launch-ratings,published,
11,Panthers,HB,HB_ReceivingBack,22,Christian,McCaffrey,25,71,205,97,92,93,97,94,72,90,94,96,83,93,91,59,77,94,81,72,74,75,81,75,67,44,41,37,30,17,43,25,24,38,22,22,67,36,32,45,47,36,27,44,12,17,15,28,10,10,32,29,23,88,98,96,96,"$46,000,000 ","$32,030,000 ",Short Stride High and Tight,35223,4,Right,Stanford,8655,21,12556,Christian McCaffrey,McCaffreyChristian_12556,launch-ratings,published,
