index,height,weight,birthDate,collegeName,position,displayName
0,72,191,8/16/1991,Central Florida,CB,A.J. Bouye
1,77,240,9/20/1991,Arkansas,TE,A.J. Derby
2,76,210,7/31/1988,Georgia,WR,A.J. Green
3,73,240,7/30/1991,Iowa State,OLB,A.J. Klein
4,71,202,12/15/1995,Mississippi,DB,A.J. Moore
5,72,220,9/13/1990,Alabama,QB,AJ McCarron
6,69,191,10/2/1991,Oklahoma,CB,Aaron Colvin
7,77,208,12/2/1994,Texas-El Paso,RB,Aaron Jones
8,74,285,2/8/1993,South Florida,OLB,Aaron Lynch
9,74,225,12/2/1983,California,QB,Aaron Rodgers
10,76,242,7/8/1993,UCLA,OLB,Aaron Wallace
11,77,318,9/8/1991,Georgia,NT,Abry Jones
12,71,300,4/12/1994,Vanderbilt,DT,Adam Butler
13,70,195,6/24/1993,Clemson,WR,Adam Humphries
14,78,185,9/30/1983,West Virginia,CB,Adam Jones
15,74,257,10/24/1994,Ashland,TE,Adam Shaheen
16,72,200,8/22/1990,Minn. State-Mankato,WR,Adam Thielen
17,75,230,9/21/1990,Florida Atlantic,MLB,Adarius Taylor
18,71,205,11/7/1996,Virginia Tech,CB,Adonis Alexander
19,72,185,9/18/1995,Southern California,CB,Adoree' Jackson
20,75,214,4/29/1993,Penn State,FS,Adrian Amos
21,74,280,7/6/1988,Iowa,DE,Adrian Clayborn
22,73,205,10/6/1993,Miami,FS,Adrian Colbert
23,71,220,3/21/1985,Oklahoma,RB,Adrian Peterson
24,75,210,3/28/1992,Texas,SS,Adrian Phillips
25,72,195,3/21/1995,Colorado,CB,Ahkello Witherspoon
26,75,227,12/15/1994,Oklahoma,ILB,Ahmad Thomas
27,73,215,8/29/1992,San Jose State,CB,Akeem King
28,76,352,11/16/1989,"Regina, Can.",DT,Akiem Hicks
29,73,235,7/2/1993,Memphis,TE,Alan Cross
30,74,235,6/4/1986,Marshall,OLB,Albert McClellan
31,69,195,7/12/1992,Georgia State,WR,Albert Wilson
32,70,185,9/24/1988,Southern Methodist,WR,Aldrick Robinson
33,75,250,9/25/1991,Georgia,LB,Alec Ogletree
34,75,240,9/22/1994,Florida,OLB,Alex Anzalone
35,74,255,5/17/1994,West Georgia,RB,Alex Armah
36,70,208,8/26/1994,Arkansas,RB,Alex Collins
37,72,195,11/6/1992,Wisconsin,WR,Alex Erickson
38,76,213,5/7/1984,Utah,QB,Alex Smith
39,74,225,4/27/1991,LSU,RB,Alfred Blue
40,70,222,12/12/1988,Florida Atlantic,RB,Alfred Morris
41,75,195,11/12/1991,Miami,WR,Allen Hurns
42,77,227,12/11/1995,Iowa State,WR,Allen Lazard
43,74,220,8/24/1993,Penn State,WR,Allen Robinson
44,76,218,9/29/1992,Toledo,WR,Alonzo Russell
45,75,218,2/14/1990,South Carolina,WR,Alshon Jeffery
46,70,215,7/25/1995,Tennessee,RB,Alvin Kamara
47,73,211,6/17/1994,Alabama,WR,Amari Cooper
48,69,203,6/13/1993,Nebraska,RB,Ameer Abdullah
49,70,195,5/30/1992,Vanderbilt,FS,Andre Hal
50,76,210,6/16/1988,Hillsdale,WR,Andre Holmes
51,71,195,1/9/1988,Citadel,WR,Andre Roberts
52,72,240,4/20/1997,North Carolina,LB,Andre Smith
53,71,202,10/28/1992,Connecticut,FS,Andrew Adams
54,74,235,9/17/1991,Vanderbilt,LS,Andrew East
55,76,240,9/12/1989,Stanford,QB,Andrew Luck
56,73,210,9/9/1987,Rice,SS,Andrew Sendejo
57,74,220,10/29/1987,Texas Christian,QB,Andy Dalton
58,73,238,5/23/1993,Nebraska,RB,Andy Janovich
59,73,215,6/28/1994,Jacksonville,WR,Andy Jones
60,71,178,11/30/1994,Alabama,CB,Anthony Averett
61,77,255,3/18/1992,UCLA,OLB,Anthony Barr
62,71,196,12/15/1993,Purdue,CB,Anthony Brown
63,75,255,12/10/1992,Miami,OLB,Anthony Chickillo
64,74,246,2/19/1995,Harvard,TE,Anthony Firkser
65,73,202,10/9/1991,Virginia,FS,Anthony Harris
66,72,235,6/10/1992,Iowa,MLB,Anthony Hitchens
67,71,207,3/27/1987,Tennessee State,DB,Anthony Levine
68,71,199,10/9/1994,Memphis,WR,Anthony Miller
69,70,242,12/11/1988,Connecticut,FB,Anthony Sherman
70,73,230,8/8/1995,Northwestern,ILB,Anthony Walker
71,71,201,7/27/1984,Howard,FS,Antoine Bethea
72,72,219,2/27/1991,Virginia Tech,FS,Antone Exum
73,70,185,7/10/1988,Central Michigan,WR,Antonio Brown
74,71,200,1/9/1997,Florida,WR,Antonio Callaway
75,76,255,6/18/1980,Kent State,TE,Antonio Gates
76,73,241,12/6/1994,Florida,ILB,Antonio Morrison
77,78,256,5/28/1993,"Laval, Can.",TE,Antony Auclair
78,73,209,2/13/1986,Kansas,CB,Aqib Talib
79,77,240,5/3/1996,Louisiana State,DE,Arden Key
80,71,205,3/19/1996,Texas A&M,DB,Armani Watts
81,70,190,7/13/1993,Memphis,CB,Arthur Maulet
82,72,197,5/1/1995,Miami,CB,Artie Burns
83,77,228,2/3/1997,Florida State,WR,Auden Tate
84,72,240,1/10/1994,Villanova,LB,Austin Calitro
85,73,195,12/25/1993,Northwestern,WR,Austin Carr
86,70,200,5/17/1995,"Western State, Colo.",RB,Austin Ekeler
87,76,254,10/29/1994,Stanford,TE,Austin Hooper
88,76,314,5/8/1994,Penn State,NT,Austin Johnson
89,77,262,9/29/1992,Washington,TE,Austin Seferian-Jenkins
90,73,246,3/9/1992,Kentucky,ILB,Avery Williamson
91,69,184,3/31/1996,Pittsburgh,CB,Avonte Maddox
92,75,229,10/31/1994,Illinois State,MLB,B.J. Bello
93,73,242,5/29/1993,Clemson,ILB,B.J. Goodson
94,71,190,5/3/1990,William & Mary,CB,B.W. Webb
95,73,215,4/14/1995,Oklahoma,QB,Baker Mayfield
96,77,235,10/4/1990,Louisiana State,OLB,Barkevious Mingo
97,74,218,2/11/1988,Toledo,SS,Barry Church
98,71,195,1/30/1992,Clemson,CB,Bashaud Breeland
99,76,260,1/25/1990,Missouri,LS,Beau Brinkley
100,75,247,2/7/1994,Harvard,TE,Ben Braunecker
101,74,244,10/16/1994,Michigan,OLB,Ben Gedeon
102,76,240,4/17/1988,Fresno State,OLB,Ben Jacobs
103,77,258,4/9/1993,Notre Dame,TE,Ben Koyack
104,74,233,7/27/1995,Iowa,LB,Ben Niemann
105,77,240,3/2/1982,"Miami, O.",QB,Ben Roethlisberger
106,76,257,11/19/1992,Mississippi State,ILB,Benardrick McKinney
107,72,195,9/3/1991,San Jose State,CB,Bene' Benwikere
108,75,255,12/18/1980,Georgia,TE,Benjamin Watson
109,73,218,6/10/1991,Michigan State,WR,Bennie Fowler
110,74,315,12/28/1989,LSU,NT,Bennie Logan
111,70,218,7/7/1990,Middle Tennessee State,RB,Benny Cunningham
112,75,265,8/3/1991,Idaho,DE,Benson Mayowa
113,75,313,9/14/1996,Delaware,DT,Bilal Nichols
114,70,204,10/27/1988,Louisville,RB,Bilal Powell
115,77,235,10/15/1989,Missouri,QB,Blaine Gabbert
116,72,238,5/27/1994,Ohio,OLB,Blair Brown
117,78,252,8/7/1991,Oklahoma,TE,Blake Bell
118,77,236,4/28/1992,Central Florida,QB,Blake Bortles
119,70,191,8/8/1993,Auburn,SS,Blake Countess
120,77,260,7/16/1994,Oklahoma State,TE,Blake Jarwin
121,74,237,1/9/1994,Stanford,ILB,Blake Martinez
122,73,190,12/5/1989,Connecticut,CB,Blidi Wreh-Wilson
123,71,192,8/18/1993,Memphis,CB,Bobby McCain
124,72,242,6/27/1990,Utah State,MLB,Bobby Wagner
125,69,186,1/25/1995,Florida State,WR,Bobo Wilson
126,76,275,6/24/1996,North Carolina State,DE,Bradley Chubb
